Manufacturer,Machine Model,Machinery Category,Engine Capacity (L),Engine Cylinders,Transmission Type,Fuel Category,Fuel Consumption (Load Condition) (L/100 hr),Fuel Consumption (No-Load Condition) (L/100 hr),Average Fuel Consumption (L/100 hr),Average Fuel Efficiency (hrg),CO2 Emissions (g/hr),CO2 Emissions Level
Bauer Machinery Works,M4IN,Compact Utility Equipment,3.0,6,AS8,Z,11.4,8.3,10.0,28,233,medium
Nissan Machinery Ltd.,SNR),Mid-Sized Utility Machines,1.6,4,M6,Z,9.1,7.3,8.3,34,195,low
Chrysler Engineering,20SV,Mid-Sized Utility Machines,3.6,6,A6,X,12.5,8.1,10.5,27,242,medium
Chevrolet Engineering Works,EUND,Small Utility Vehicle,3.6,6,A6,X,14.8,9.9,12.6,22,290,high
Bauer Machinery Works,MM22,Subcompact Utility Machinery,3.0,6,AM7,Z,11.8,8.8,10.4,27,244,medium
Toyota Heavy Machinery,HGLE,Standard Utility Vehicle,3.5,6,AS8,X,11.7,8.8,10.4,27,242,medium
Nissan Machinery Ltd.,ATMA,Mid-Sized Utility Machines,3.5,6,AV,X,10.3,7.4,9.0,31,207,medium
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.0,4,M6,X,8.2,5.9,7.1,40,163,low
Mazda Manufacturing Corp.,C-99,Small Utility Vehicle,3.7,6,AS6,X,14.2,10.0,12.3,23,283,high
Land Rover Machinery Co.,L222,Small Utility Vehicle,2.0,4,AS6,Z,13.5,9.9,11.9,24,274,high
Bauer Machinery Works,APNE,Heavy-Duty Utility Machinery,4.4,8,AS8,Z,14.5,9.9,12.4,23,290,high
Rolls-Royce Engineering,GOTB,Heavy-Duty Utility Machinery,6.6,12,AS8,Z,20.0,12.6,16.7,17,390,high
Chevrolet Engineering Works,SBRV,Standard Utility Vehicle,5.3,8,A6,E,22.2,15.3,19.1,15,319,high
Porsche Engineering Works,91CT,Mini Utility Equipment,3.0,6,AM7,Z,11.0,8.4,9.8,29,230,medium
Nissan Machinery Ltd.,KCSS,Mid-Sized Utility Machines,1.6,4,AV,X,7.7,6.6,7.2,39,169,low
Mazda Manufacturing Corp.,MZA),Mid-Sized Utility Machines,2.0,4,M6,X,8.7,6.6,7.8,36,181,low
Mini Industrial Tools,COE4,Mid-Sized Utility Machines,2.0,4,AS8,Z,10.5,7.6,9.2,31,215,medium
Ford Industrial Corp.,FCSV,Compact Utility Equipment,2.0,4,AS6,E,12.1,8.6,10.5,27,175,low
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.0,4,AS6,X,8.4,6.6,7.6,37,178,low
Aston Martin Technologies,V_AS,Small-Scale Operator Machinery,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,high
Jeep Engineering Co.,RNGE,Small Utility Vehicle,1.4,4,M6,X,9.9,7.7,8.9,32,209,medium
Jaguar Industrial Machines,X_OE,Mini Utility Equipment,5.0,8,AS6,Z,15.1,10.6,13.1,22,301,high
Honda Heavy Industries,CVCI,Compact Utility Equipment,1.5,4,M6,Z,8.4,6.2,7.4,38,173,low
Chevrolet Engineering Works,SLED,Standard Transport Machinery,6.2,8,A8,Z,16.3,11.6,14.2,20,332,high
Ford Industrial Corp.,F10),Standard Transport Machinery,2.7,6,AS10,X,12.4,9.4,11.1,25,260,high
Cadillac Engineering Solutions,C4VV,Compact Utility Equipment,2.7,4,AS10,Z,11.5,8.2,10.0,28,234,medium
Honda Heavy Industries,ACRD,Heavy-Duty Utility Machinery,1.5,4,AV,X,7.9,6.3,7.2,39,168,low
Ford Industrial Corp.,FSOD,Mid-Sized Utility Machines,2.0,4,AV,X,5.5,5.7,5.6,50,131,very low
Korea Industrial Apparatus,SDNL,Compact Transport Equipment,3.3,6,AS6,X,14.1,10.5,12.5,23,296,high
Buick Heavy Industries,EVSD,Small Utility Vehicle,2.0,4,A9,Z,11.7,9.4,10.7,26,250,medium
General Manufacturing Corporation,CNON,Light-Duty Transport Machinery,2.5,4,A6,X,12.1,9.2,10.8,26,253,high
Chrysler Engineering,20CE,Compact Utility Equipment,2.4,4,A4,X,11.7,8.2,10.1,28,232,medium
Toyota Heavy Machinery,G_UA,Small-Scale Operator Machinery,3.0,6,AS8,Z,9.9,7.7,8.9,32,208,medium
Jaguar Industrial Machines,FTPD,Small-Scale Operator Machinery,3.0,6,AS8,Z,13.0,9.1,11.3,25,264,high
Volkswaren Machine Systems,TUR),Standard Utility Vehicle,3.0,6,AS8,D,11.8,8.1,10.2,28,277,high
Audi Industrial Equipment,A_LO,Small-Scale Transport Machinery,2.0,4,AM7,Z,10.5,7.9,9.3,30,217,medium
Maserat Engineering Ltd.,QATS,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,14.1,9.8,12.2,23,286,high
Mazda Manufacturing Corp.,C-55,Small Utility Vehicle,2.0,4,M6,X,9.0,6.8,8.0,35,184,low
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,2.5,4,AV6,X,5.3,5.0,5.1,55,121,very low
Toyota Heavy Machinery,HGLE,Standard Utility Vehicle,3.5,6,AS8,X,11.7,8.8,10.4,27,242,medium
Lincoln Manufacturing,CNID,Heavy-Duty Utility Machinery,3.7,6,AS6,X,14.3,9.7,12.2,23,287,high
Ram Industrial Equipment,1000,Standard Transport Machinery,5.7,8,A8,X,15.7,11.0,13.6,21,319,high
Ram Industrial Equipment,CROV,Compact Transport Equipment,3.6,6,A6,E,18.6,12.7,15.9,18,254,high
Chrysler Engineering,20FV,Mid-Sized Utility Machines,3.6,6,A9,E,16.8,10.4,13.9,20,230,medium
Subaru Heavy Machinery,BZZZ,Mini Utility Equipment,2.0,4,M6,Z,11.0,7.9,9.6,29,221,medium
Buick Heavy Industries,RGLD,Mid-Sized Utility Machines,3.6,6,AS9,X,12.5,8.8,10.9,26,255,high
Chrysler Engineering,20FV,Mid-Sized Utility Machines,3.6,6,A9,X,12.4,7.6,10.2,28,241,medium
Land Rover Machinery Co.,L444,Standard Utility Vehicle,3.0,6,AS8,Z,16.2,12.1,14.3,20,329,high
Acura Manufacturing,RXXX,Mid-Sized Utility Machines,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,medium
Korea Industrial Apparatus,SOTE,Small Utility Vehicle,2.4,4,M6,X,12.9,9.3,11.3,25,260,high
Mini Industrial Tools,COEN,Compact Utility Equipment,1.6,4,M6,Z,8.6,6.8,7.8,36,179,low
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,E,19.7,13.8,17.0,17,283,high
Ford Industrial Corp.,TASI,Specialized Industrial Machinery,2.5,4,AS6,X,12.0,8.5,10.4,27,239,medium
Mercedes Industrial Solutions,G_3G,Standard Utility Vehicle,5.5,8,AS7,Z,18.2,14.0,16.3,17,375,high
Ram Industrial Equipment,10_4,Standard Transport Machinery,5.7,8,A6,X,18.7,13.3,16.3,17,382,high
Cadillac Engineering Solutions,C666,Heavy-Duty Utility Machinery,2.0,4,AS8,Z,11.0,7.6,9.5,30,222,medium
Volvo Industrial Solutions,S0I5,Compact Utility Equipment,2.0,4,AS8,X,9.6,7.0,8.4,34,198,low
Bauer Machinery Works,45_E,Compact Utility Equipment,3.0,6,M6,Z,12.0,8.3,10.3,27,237,medium
Ford Industrial Corp.,FCSV,Compact Utility Equipment,2.0,4,A6,E,11.6,8.3,10.1,28,162,low
Jaguar Industrial Machines,FTPE,Small-Scale Operator Machinery,3.0,6,M6,Z,15.3,10.0,12.9,22,302,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,2.8,4,A6,D,13.3,10.6,12.1,23,326,high
Bauer Machinery Works,48_E,Compact Utility Equipment,2.0,4,M6,Z,10.4,6.7,8.7,32,200,low
Lexus Engineering,G_5H,Mid-Sized Utility Machines,3.5,6,AV8,Z,7.7,7.4,7.6,37,175,low
Jeep Engineering Co.,CEOI,Small Utility Vehicle,2.4,4,A9,X,11.4,8.6,10.1,28,232,medium
Lexus Engineering,I_00,Compact Utility Equipment,2.0,4,AS8,Z,11.0,7.6,9.5,30,220,medium
Ford Industrial Corp.,EPD4,Standard Utility Vehicle,3.5,6,AS6,X,16.4,12.0,14.4,20,331,high
Korea Industrial Apparatus,FRE5,Heavy-Duty Utility Machinery,2.0,4,AS6,X,9.7,7.0,8.3,34,197,low
Audi Industrial Equipment,SS33,Subcompact Utility Machinery,2.0,4,AM6,Z,10.1,7.7,9.0,31,207,medium
Volkswaren Machine Systems,PSAT,Mid-Sized Utility Machines,1.8,4,AS6,X,9.7,6.6,8.3,34,191,low
Ford Industrial Corp.,F104,Standard Transport Machinery,3.5,6,A6,X,14.0,10.6,12.5,23,293,high
Fiat Industrial Equipment,50AK,Mini Utility Equipment,1.4,4,A6,X,9.6,7.3,8.6,33,200,low
Korea Industrial Apparatus,SRNO,Small Utility Vehicle,2.4,4,AS6,X,10.7,8.2,9.6,29,225,medium
Mitsubishi Industrial Equipment,RRRR,Small Utility Vehicle,2.0,4,M5,X,10.3,8.0,9.3,30,214,medium
Jaguar Industrial Machines,XRRR,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.8,10.2,13.3,21,313,high
General Manufacturing Corporation,TRAN,Small Utility Vehicle,3.6,6,A6,X,14.2,9.5,12.1,23,285,high
Ford Industrial Corp.,ECPD,Small Utility Vehicle,2.0,4,AS6,X,11.5,8.7,10.2,28,239,medium
Bauer Machinery Works,Z_4I,Small-Scale Operator Machinery,3.0,6,AS8,Z,10.3,8.0,9.3,30,216,medium
Volvo Industrial Solutions,X7_D,Small Utility Vehicle,3.0,6,AS6,X,13.4,9.8,11.8,24,271,high
Smart Industrial Co.,FRWE,Small-Scale Operator Machinery,1.0,3,AM5,Z,6.9,5.7,6.4,44,147,very low
Audi Industrial Equipment,S_AT,Subcompact Utility Machinery,3.0,6,AM7,Z,13.3,9.1,11.4,25,266,high
Hyundai Manufacturing Solutions,SNTA,Heavy-Duty Utility Machinery,2.4,4,AS6,X,9.4,6.5,8.1,35,191,low
Jeep Engineering Co.,PTIT,Small Utility Vehicle,2.4,4,M5,X,10.3,8.3,9.4,30,216,medium
Ford Industrial Corp.,ECPD,Small Utility Vehicle,2.5,4,AV,X,5.5,6.4,5.9,48,139,very low
Korea Industrial Apparatus,ROOO,Compact Utility Equipment,1.6,4,M6,X,8.7,6.4,7.7,37,177,low
Toyota Heavy Machinery,CMYE,Mid-Sized Utility Machines,3.5,6,AS8,X,10.7,7.4,9.2,31,215,medium
Lexus Engineering,G_60,Standard Utility Vehicle,4.6,8,AS6,Z,15.7,11.8,13.9,20,320,high
Jeep Engineering Co.,CEOK,Small Utility Vehicle,3.2,6,A9,X,12.9,9.9,11.6,24,269,high
Porsche Engineering Works,91TS,Mini Utility Equipment,3.8,6,M7,Z,13.1,9.2,11.4,25,262,high
Fiat Industrial Equipment,50XX,Small Utility Vehicle,2.4,4,A9,X,10.6,7.6,9.3,30,217,medium
Volkswaren Machine Systems,BELE,Compact Utility Equipment,2.0,4,AM6,Z,10.0,7.9,9.1,31,209,medium
Toyota Heavy Machinery,VNAD,Small Utility Vehicle,2.7,4,AS6,X,11.6,9.2,10.5,27,242,medium
Bauer Machinery Works,38_G,Small-Scale Transport Machinery,2.0,4,AS8,Z,10.5,6.9,8.9,32,209,medium
Jeep Engineering Co.,RNGV,Small Utility Vehicle,2.4,4,A9,E,14.2,9.9,12.2,23,195,low
Mini Industrial Tools,JH_4,Compact Utility Equipment,1.6,4,AS6,Z,10.1,7.8,9.0,31,207,medium
Ford Industrial Corp.,EPD4,Standard Utility Vehicle,3.5,6,AS10,X,14.7,11.2,13.1,22,308,high
Chevrolet Engineering Works,CLRD,Light-Duty Transport Machinery,2.8,4,A6,D,12.5,10.7,11.7,24,315,high
Bauer Machinery Works,70IE,Heavy-Duty Utility Machinery,4.4,8,A8,Z,15.0,9.8,12.7,22,292,high
Mercedes Industrial Solutions,S6_C,Heavy-Duty Utility Machinery,5.5,8,AS7,Z,15.6,10.3,13.2,21,304,high
General Manufacturing Corporation,YKNL,Standard Utility Vehicle,5.3,8,A6,X,14.9,10.1,12.7,22,292,high
Hyundai Manufacturing Solutions,SNTE,Mid-Sized Utility Machines,2.0,4,AM6,X,5.9,5.1,5.6,50,132,very low
General Manufacturing Corporation,TRAD,Small Utility Vehicle,2.0,4,A9,Z,11.2,9.0,10.2,28,239,medium
Bauer Machinery Works,45_T,Subcompact Utility Machinery,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,medium
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,E,20.5,14.5,17.8,16,285,high
Bentley Heavy Systems,FYNR,Mid-Sized Utility Machines,4.0,8,AS8,Z,18.8,10.7,15.1,19,353,high
Mercedes Industrial Solutions,E50C,Mid-Sized Utility Machines,4.7,8,AS7,Z,12.9,9.6,11.4,25,270,high
Hyundai Manufacturing Solutions,VLSR,Compact Utility Equipment,1.6,4,M6,X,9.1,6.7,8.0,35,184,low
Chevrolet Engineering Works,SNCC,Compact Utility Equipment,1.8,4,AS6,X,9.7,6.9,8.4,34,197,low
Mercedes Industrial Solutions,E50C,Mid-Sized Utility Machines,4.7,8,AS7,Z,12.9,9.6,11.4,25,262,high
Audi Industrial Equipment,Q_UO,Compact Utility Equipment,2.0,4,AS6,Z,11.9,8.4,10.3,27,237,medium
Nissan Machinery Ltd.,G-RR,Subcompact Utility Machinery,3.8,6,AM6,Z,14.5,10.7,12.8,22,300,high
Jeep Engineering Co.,PTI4,Small Utility Vehicle,2.4,4,A6,X,11.4,8.7,10.2,28,235,medium
Hyundai Manufacturing Solutions,TCON,Small Utility Vehicle,2.0,4,AS6,X,10.1,7.6,9.0,31,211,medium
Jaguar Industrial Machines,XRLB,Heavy-Duty Utility Machinery,5.0,8,AS8,Z,15.8,10.2,13.3,21,313,high
Mazda Manufacturing Corp.,C-55,Small Utility Vehicle,2.5,4,AS6,X,9.6,7.4,8.6,33,198,low
Land Rover Machinery Co.,RNET,Standard Utility Vehicle,3.0,6,AS8,Z,14.2,10.2,12.4,23,291,high
Toyota Heavy Machinery,SEND,Compact Transport Equipment,3.5,6,AS8,X,13.4,9.6,11.7,24,274,high
Ford Industrial Corp.,ECPD,Small Utility Vehicle,1.6,4,AS6,X,10.5,7.9,9.3,30,214,medium
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,5.0,8,AS6,X,14.9,9.5,12.4,23,292,high
Mercedes Industrial Solutions,E40E,Subcompact Utility Machinery,3.0,6,A9,Z,12.5,9.1,11.0,26,257,high
Mercedes Industrial Solutions,C_3G,Compact Utility Equipment,5.5,8,AS7,Z,15.4,11.0,13.4,21,308,high
Chevrolet Engineering Works,CUER,Mid-Sized Utility Machines,1.4,4,AS6,X,8.4,6.4,7.5,38,176,low
Audi Industrial Equipment,A_UO,Compact Utility Equipment,2.0,4,M6,Z,10.8,7.5,9.3,30,214,medium
Chevrolet Engineering Works,MLBU,Mid-Sized Utility Machines,2.0,4,A9,Z,10.7,7.1,9.1,31,212,medium
Lexus Engineering,N_0D,Small Utility Vehicle,2.0,4,AS6,Z,10.6,8.4,9.6,29,221,medium
Jeep Engineering Co.,RNGK,Small Utility Vehicle,1.3,4,A9,X,10.8,8.7,9.9,29,230,medium
Toyota Heavy Machinery,HGLM,Standard Utility Vehicle,2.5,4,AV,X,6.6,6.8,6.7,42,156,low
Scion Tech Industries,XXBB,Small-Scale Transport Machinery,2.4,4,AS4,X,10.9,8.6,9.9,29,228,medium
Jeep Engineering Co.,CEOI,Small Utility Vehicle,2.4,4,A9,X,11.4,8.7,10.2,28,240,medium
Korea Industrial Apparatus,NR_E,Small-Scale Transport Machinery,1.6,4,AM6,X,4.5,4.8,4.7,60,110,very low
Nissan Machinery Ltd.,ATMM,Mid-Sized Utility Machines,2.5,4,AV,X,9.3,6.7,8.1,35,190,low
Bentley Heavy Systems,CNIC,Subcompact Utility Machinery,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,high
Dodge Equipment Ltd.,CAG),Heavy-Duty Utility Machinery,5.7,8,A5,X,15.7,9.6,12.9,22,302,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,M6,X,8.3,6.3,7.4,38,170,low
Cadillac Engineering Solutions,XSVD,Heavy-Duty Utility Machinery,3.6,6,AS6,Z,15.0,10.2,12.8,22,302,high
Volvo Industrial Solutions,X6_D,Small Utility Vehicle,3.0,6,AS6,X,13.7,10.1,12.0,24,276,high
Lincoln Manufacturing,MZZZ,Mid-Sized Utility Machines,2.0,4,AS6,X,10.5,7.0,8.9,32,210,medium
Lincoln Manufacturing,MZHD,Mid-Sized Utility Machines,2.0,4,AV,X,5.7,6.2,5.9,48,139,very low
Volvo Industrial Solutions,S0TD,Compact Utility Equipment,2.5,5,AS6,X,11.6,8.2,10.1,28,233,medium
Jaguar Industrial Machines,X_WD,Heavy-Duty Utility Machinery,3.0,6,AS8,Z,14.6,9.6,12.4,23,285,high
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,3.7,6,AS6,X,12.6,8.5,10.7,26,253,high
Ford Industrial Corp.,F10),Standard Transport Machinery,3.5,6,AS10,X,14.4,10.6,12.7,22,297,high
Chevrolet Engineering Works,SLEO,Standard Transport Machinery,4.3,6,A6,E,18.9,14.2,16.8,17,269,high
Dodge Equipment Ltd.,CAGV,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.3,7.6,10.2,28,235,medium
Lincoln Manufacturing,MXAD,Small Utility Vehicle,3.7,6,AS6,X,14.4,10.3,12.5,23,293,high
Chevrolet Engineering Works,SBRV,Standard Utility Vehicle,5.3,8,A6,E,20.5,14.0,17.6,16,288,high
Fiat Industrial Equipment,50LL,Small-Scale Transport Machinery,1.4,4,M6,X,9.3,7.1,8.3,34,194,low
General Manufacturing Corporation,YKND,Standard Utility Vehicle,5.3,8,A6,X,15.2,10.8,13.2,21,310,high
General Manufacturing Corporation,CNOD,Light-Duty Transport Machinery,2.8,4,A6,D,12.0,8.2,10.3,27,277,high
Nissan Machinery Ltd.,FOTR,Light-Duty Transport Machinery,2.5,4,A5,X,13.5,10.5,12.2,23,286,high
General Manufacturing Corporation,AAIA,Standard Utility Vehicle,3.6,6,A9,X,12.6,8.8,10.9,26,257,high
Toyota Heavy Machinery,CRLA,Mid-Sized Utility Machines,1.8,4,AV7,X,8.3,6.7,7.5,38,178,low
Audi Industrial Equipment,T_OO,Subcompact Utility Machinery,2.0,4,A6,Z,10.4,7.6,9.1,31,209,medium
General Manufacturing Corporation,SER4,Standard Transport Machinery,3.0,6,A10,D,10.5,9.1,9.9,29,265,high
Mini Industrial Tools,COER,Small-Scale Operator Machinery,1.6,4,A6,Z,9.3,7.0,8.3,34,191,low
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.5,4,AS6,X,8.8,6.4,7.7,37,181,low
Cadillac Engineering Solutions,ASAD,Compact Utility Equipment,2.0,4,AS8,Z,10.8,7.9,9.5,30,222,medium
Porsche Engineering Works,PNMS,Heavy-Duty Utility Machinery,2.9,6,AM8,Z,13.1,8.9,11.2,25,261,high
Bauer Machinery Works,70DN,Heavy-Duty Utility Machinery,3.0,6,AS8,D,10.2,7.1,8.8,32,238,medium
Cadillac Engineering Solutions,ASSS,Compact Utility Equipment,3.6,6,AS8,X,11.6,8.0,10.0,28,234,medium
Nissan Machinery Ltd.,MRND,Mid-Sized Transport Machinery,3.5,6,AV7,X,11.7,8.5,10.3,27,242,medium
Hyundai Manufacturing Solutions,SNAE,Small Utility Vehicle,3.3,6,AS6,X,12.9,9.4,11.3,25,265,high
Acura Manufacturing,MXSD,Small Utility Vehicle,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,high
Audi Industrial Equipment,A_D),Mid-Sized Utility Machines,3.0,6,AS8,D,9.8,6.5,8.4,34,224,medium
Mercedes Industrial Solutions,S600,Heavy-Duty Utility Machinery,6.0,12,AS7,Z,18.1,11.0,14.9,19,343,high
Volvo Industrial Solutions,S0TD,Compact Utility Equipment,2.0,4,AS8,Z,10.9,7.7,9.5,30,221,medium
Hyundai Manufacturing Solutions,EATT,Heavy-Duty Utility Machinery,1.6,4,M6,X,10.3,7.9,9.2,31,218,medium
Cadillac Engineering Solutions,X4AD,Small Utility Vehicle,2.0,4,AS9,Z,10.9,8.2,9.7,29,227,medium
Mercedes Industrial Solutions,AGSE,Compact Utility Equipment,4.0,8,A9,Z,14.0,8.7,11.6,24,271,high
Toyota Heavy Machinery,CRL),Mid-Sized Utility Machines,1.8,4,AV,X,7.8,5.9,6.9,41,163,low
Porsche Engineering Works,91CT,Mini Utility Equipment,3.4,6,AM7,Z,11.5,8.3,10.1,28,232,medium
Ram Industrial Equipment,10_V,Standard Transport Machinery,3.6,6,A8,E,19.4,13.6,16.8,17,269,high
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AS6,X,10.7,8.4,9.7,29,226,medium
Mercedes Industrial Solutions,AGC3,Compact Utility Equipment,4.0,8,AS7,Z,13.4,9.6,11.7,24,268,high
Chrysler Engineering,30AD,Heavy-Duty Utility Machinery,3.6,6,A8,X,12.8,8.6,10.9,26,251,high
Chevrolet Engineering Works,EPER,Passenger Transport Equipment,5.3,8,A4,X,18.6,13.9,16.5,17,380,high
Chevrolet Engineering Works,BAED,Small Utility Vehicle,2.0,4,A9,X,11.3,8.7,10.1,28,232,medium
Nissan Machinery Ltd.,30ZZ,Small-Scale Operator Machinery,3.7,6,AS7,Z,12.6,9.3,11.1,25,261,high
Ford Industrial Corp.,EPOD,Standard Utility Vehicle,3.0,6,AS10,X,13.3,9.8,11.8,24,278,high
Hyundai Manufacturing Solutions,ACNT,Compact Utility Equipment,1.6,4,AS6,X,8.9,6.3,7.7,37,177,low
Toyota Heavy Machinery,SEND,Compact Transport Equipment,3.5,6,AS8,X,13.4,9.6,11.7,24,274,high
Ram Industrial Equipment,10_),Standard Transport Machinery,5.7,8,A8,X,16.3,11.5,14.1,20,324,high
Dodge Equipment Ltd.,CALR,Mid-Sized Utility Machines,5.7,8,M6,Z,15.6,10.1,13.1,22,307,high
Korea Industrial Apparatus,RNOO,Mid-Sized Transport Machinery,2.0,4,A6,X,10.5,7.5,9.2,31,212,medium
Acura Manufacturing,TXSD,Compact Utility Equipment,3.5,6,AS9,Z,11.2,7.5,9.6,29,226,medium
Chrysler Engineering,20FV,Mid-Sized Utility Machines,2.4,4,A9,X,10.2,6.4,8.5,33,196,low
Mini Industrial Tools,JH_4,Compact Utility Equipment,1.6,4,M6,Z,9.4,7.6,8.6,33,201,medium
Subaru Heavy Machinery,FRSD,Small Utility Vehicle,2.5,4,M6,X,10.6,8.4,9.6,29,227,medium
Honda Heavy Industries,H-_D,Small-Scale Transport Machinery,1.8,4,AV,X,8.8,7.5,8.2,34,193,low
Mercedes Industrial Solutions,GK2C,Small Utility Vehicle,2.1,4,AS7,D,9.6,7.1,8.5,33,230,medium
Cadillac Engineering Solutions,CSVV,Mid-Sized Utility Machines,6.2,8,AS8,Z,16.5,11.1,14.0,20,329,high
Honda Heavy Industries,FTTT,Small-Scale Transport Machinery,1.5,4,AV7,X,7.6,6.5,7.0,40,166,low
Bauer Machinery Works,APNE,Compact Utility Equipment,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,high
Chevrolet Engineering Works,CREE,Small-Scale Operator Machinery,6.2,8,M7,Z,14.2,9.0,11.9,24,278,high
Mini Industrial Tools,JH_4,Mid-Sized Utility Machines,2.0,4,AS8,Z,10.6,7.8,9.3,30,220,medium
Subaru Heavy Machinery,WXXX,Compact Utility Equipment,2.0,4,AV8,Z,12.4,9.4,11.1,25,255,high
Audi Industrial Equipment,A_UO,Mid-Sized Utility Machines,2.0,4,AS8,Z,10.6,7.5,9.2,31,216,medium
Jeep Engineering Co.,GADT,Standard Utility Vehicle,6.4,8,A8,Z,18.3,12.6,15.7,18,368,high
Porsche Engineering Works,91CS,Mini Utility Equipment,3.0,6,M7,Z,13.0,8.9,11.2,25,260,high
Land Rover Machinery Co.,DSOT,Small Utility Vehicle,2.0,4,AS9,Z,12.0,9.2,10.7,26,252,high
Lexus Engineering,R_5D,Subcompact Utility Machinery,3.5,6,AS6,Z,13.1,9.8,11.2,25,262,high
Mazda Manufacturing Corp.,MZAR,Compact Utility Equipment,2.5,4,AS6,X,8.4,6.1,7.4,38,170,low
Chevrolet Engineering Works,IPLA,Heavy-Duty Utility Machinery,3.6,6,AS6,X,12.8,8.5,10.9,26,255,high
Audi Industrial Equipment,QQ55,Small Utility Vehicle,3.0,6,AS8,Z,12.9,9.2,11.2,25,258,high
Subaru Heavy Machinery,FRSD,Small Utility Vehicle,2.5,4,M6,X,10.9,8.3,9.7,29,228,medium
Infiniti Machine Works,Q000,Mid-Sized Utility Machines,3.0,6,AS7,Z,12.1,8.1,10.3,27,242,medium
Cadillac Engineering Solutions,ASSS,Compact Utility Equipment,2.0,4,AS8,Z,10.6,7.7,9.3,30,217,medium
Alfa Machinery Systems,GUIA,Mid-Sized Utility Machines,2.0,4,A8,Z,10.0,7.2,8.7,32,205,medium
Nissan Machinery Ltd.,MXMA,Mid-Sized Utility Machines,3.5,6,AV7,Z,11.6,7.9,9.9,29,233,medium
General Manufacturing Corporation,TRAN,Small Utility Vehicle,3.6,6,A6,X,14.1,9.7,12.1,23,285,high
Korea Industrial Apparatus,FRE5,Heavy-Duty Utility Machinery,1.6,4,AS6,X,11.1,8.0,9.7,29,223,medium
Lincoln Manufacturing,MZHD,Mid-Sized Utility Machines,2.0,4,AV,X,5.7,6.2,5.9,48,139,very low
Korea Industrial Apparatus,OTMD,Mid-Sized Utility Machines,2.4,4,AS6,X,6.6,5.9,6.3,45,145,very low
Jeep Engineering Co.,CEOV,Small Utility Vehicle,2.4,4,A9,X,11.3,8.3,10.0,28,233,medium
Infiniti Machine Works,Q8_D,Standard Utility Vehicle,5.6,8,AS7,Z,17.4,12.2,15.1,19,354,high
Ford Industrial Corp.,F104,Standard Transport Machinery,3.5,6,A6,X,15.9,11.3,13.8,20,317,high
Volkswaren Machine Systems,JTAA,Compact Utility Equipment,1.8,4,M5,X,9.3,6.3,8.0,35,184,low
Volkswaren Machine Systems,JTAI,Compact Utility Equipment,2.0,4,M6,Z,10.3,7.2,8.9,32,205,medium
Jeep Engineering Co.,CMAS,Small Utility Vehicle,2.4,4,M6,X,10.4,7.3,9.0,31,211,medium
Mini Industrial Tools,COEE,Small-Scale Operator Machinery,1.6,4,M6,Z,8.0,6.4,7.3,39,168,low
Bauer Machinery Works,X_DI,Standard Utility Vehicle,3.0,6,AS8,Z,13.0,9.8,11.5,25,270,high
General Manufacturing Corporation,TRAD,Small Utility Vehicle,2.0,4,A9,Z,11.2,9.0,10.2,28,239,medium
Hyundai Manufacturing Solutions,KN_D,Small Utility Vehicle,1.6,4,AM7,X,9.0,8.0,8.6,33,201,medium
Honda Heavy Industries,RDED,Standard Transport Machinery,3.5,6,A6,X,12.8,9.5,11.3,25,264,high
Hyundai Manufacturing Solutions,TCON,Small Utility Vehicle,2.4,4,AS6,X,11.3,8.3,10.0,28,230,medium
Mitsubishi Industrial Equipment,MRGE,Compact Utility Equipment,1.2,3,M5,X,7.0,5.6,6.4,44,147,very low
Ford Industrial Corp.,MSAG,Subcompact Utility Machinery,2.3,4,AS10,X,11.2,7.3,9.4,30,221,medium
Mazda Manufacturing Corp.,MZA6,Mid-Sized Utility Machines,2.5,4,AS6,X,8.8,6.2,7.6,37,175,low
Toyota Heavy Machinery,RV_D,Small Utility Vehicle,2.5,4,AS6,X,10.4,8.1,9.4,30,216,medium
Mini Industrial Tools,COEE,Mini Utility Equipment,2.0,4,AS6,Z,9.3,7.1,8.3,34,195,low
Toyota Heavy Machinery,CRLD,Compact Utility Equipment,1.8,4,AV,X,4.4,4.5,4.5,63,106,very low
